cluster_id,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,day_Mon,day_Tue,day_Wed,day_Thu,day_Fri,day_Sat,day_Sun,window_afternoon,window_early_morning,window_evening,window_late_night,window_morning,window_night,peak_hour,peak_day,rush_hour_ratio,is_night_dominant,is_weekend_dominant
224,0.0,0.0714,0.0,0.0714,0.3571,0.2857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0714,0.0,0.1429,0.0,0.0,0.2857,0.0714,0.0,0.0,0.6429,0.0,0.0,4.0,1.0,7.0,0.0,2.0,4,Sat,0.0,1,1
225,0.0,0.0532,0.2766,0.0,0.0,0.0266,0.1223,0.0638,0.0,0.0585,0.0319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0904,0.1277,0.0,0.0053,0.0053,0.1383,0.4681,0.0479,0.0,0.1383,0.0266,0.1702,0.1489,0.0,40.0,41.0,62.0,17.0,28.0,2,Mon,0.3404,0,0
226,0.0435,0.0,0.3043,0.0435,0.0,0.1304,0.0435,0.0435,0.0435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3478,0.0,0.1304,0.0435,0.1304,0.087,0.087,0.5217,0.0,0.0,6.0,0.0,9.0,0.0,8.0,22,Sat,0.087,1,1
227,0.0,0.0833,0.0556,0.0,0.0,0.0833,0.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0278,0.2222,0.1667,0.2778,0.25,0.0556,0.1389,0.1111,0.2778,0.1389,0.0278,0.0,6.0,1.0,5.0,0.0,24.0,23,Fri,0.0,1,0
228,0.0,0.0,0.082,0.0164,0.1311,0.082,0.0492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0656,0.0656,0.1311,0.3607,0.0164,0.0492,0.0164,0.0492,0.0,0.7541,0.0328,0.0984,0.0,8.0,8.0,14.0,0.0,31.0,22,Fri,0.0656,1,0
229,0.0,0.0417,0.0,0.0417,0.0417,0.4167,0.0833,0.0,0.0417,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0833,0.375,0.2083,0.0417,0.0833,0.125,0.0833,0.0833,0.0,13.0,0.0,3.0,3.0,5.0,5,Mon,0.1667,0,0
230,0.0769,0.0,0.0,0.0,0.0,0.5,0.3462,0.0385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0385,0.0,0.0,0.0,0.0,0.0,0.6154,0.0769,0.1923,0.0385,0.0769,0.0,23.0,1.0,2.0,0.0,0.0,5,Wed,0.0385,0,0
231,0.0345,0.0345,0.0,0.0,0.0345,0.0,0.0,0.0,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0345,0.6207,0.1724,0.0,0.069,0.0,0.5862,0.2069,0.069,0.0345,0.0345,0.0,2.0,1.0,3.0,0.0,23.0,21,Wed,0.069,1,0
232,0.0488,0.0244,0.0732,0.0976,0.0244,0.0732,0.0732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0488,0.122,0.3415,0.0732,0.0488,0.2927,0.0732,0.122,0.2195,0.1707,0.0732,0.0,6.0,2.0,11.0,0.0,22.0,22,Tue,0.0,1,0
233,0.0833,0.0833,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4167,0.0,0.1667,0.0,0.0833,0.0,0.0833,0.75,0.0,0.0,0.0833,0.0,3.0,5.0,2.0,0.0,2.0,20,Thu,0.0,0,0
234,0.0,0.0476,0.0952,0.0,0.0,0.0,0.2381,0.1905,0.0952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0952,0.2381,0.0,0.0,0.0952,0.2381,0.4286,0.0,0.0,0.1429,0.0952,0.0,11.0,2.0,3.0,0.0,5.0,6,Wed,0.2857,0,0
235,0.0,0.0,0.0,0.0,0.0,0.1892,0.0,0.0,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1081,0.4595,0.2162,0.1892,0.1622,0.4595,0.0811,0.0,0.1081,0.0,0.0,8.0,0.0,0.0,0.0,29.0,22,Wed,0.027,1,0
236,0.3889,0.1111,0.0556,0.0556,0.0556,0.0,0.0556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111,0.1667,0.0556,0.0,0.1111,0.3889,0.2222,0.1111,0.1111,0.0,1.0,0.0,12.0,0.0,5.0,0,Thu,0.0,1,0
237,0.1333,0.0,0.0,0.0667,0.0,0.1333,0.2667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1333,0.2667,0.0,0.0667,0.2,0.1333,0.0667,0.4667,0.0667,0.0,0.0,6.0,0.0,3.0,0.0,6.0,6,Fri,0.0,1,0
238,0.0,0.1364,0.0,0.0455,0.1364,0.2273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1818,0.2727,0.0455,0.1364,0.2727,0.1364,0.0,0.1818,0.2273,0.0,5.0,0.0,7.0,0.0,10.0,23,Wed,0.0,1,0
